event_id,telegraph_ts,source,telegraph_text
WK040,2026-02-20T16:30:00-0500,Weekly synthesis (Trump posts),"Supreme Court rules against Trump's IEEPA tariffs, finding he lacks authority to impose them; Trump threatens trade cutoffs instead."
WK041,2026-02-20T16:30:00-0500,Weekly synthesis (Trump posts),US-Japan trade deal launches with first investments under $550B Japanese commitment to invest in US.
WK042,2026-02-20T16:30:00-0500,Weekly synthesis (Trump posts),"Trump escalates attacks on Fed Chair Powell demanding lower rates, warns of renewed government shutdown risk."
WK043,2026-02-27T16:30:00-0500,Weekly synthesis (Trump posts),Supreme Court strikes down Trump's tariff method; Trump signs new global 10% tariff on all countries and threatens higher tariffs on noncompliant nations
WK044,2026-02-27T16:30:00-0500,Weekly synthesis (Trump posts),"Trump escalates rhetoric on potential war with Iran, denying reports his top general opposes military action"
WK045,2026-02-27T16:30:00-0500,Weekly synthesis (Trump posts),Anthropic restricts US military use of its AI; Trump publicly threatens the company and FTC targets Apple over alleged news bias
WK046,2026-03-06T16:30:00-0500,Weekly synthesis (Trump posts),"US-Israel war on Iran: Khamenei killed, Iranian navy/air defenses destroyed, Trump demands unconditional surrender, mass evacuations of Americans from Middle East."
WK047,2026-03-06T16:30:00-0500,Weekly synthesis (Trump posts),"Trump orders US DFC to provide political-risk insurance for all maritime trade, especially energy, transiting the Gulf."
WK048,2026-03-06T16:30:00-0500,Weekly synthesis (Trump posts),Defense manufacturers agree to quadruple production of advanced weaponry; munitions buildup amid sustained war footing.
WK049,2026-03-13T16:30:00-0400,Weekly synthesis (Trump posts),"Active US-Iran war: strikes on Iranian mine-laying boats, Hormuz threats, regime/navy/air force being destroyed, oil supply at risk"
WK050,2026-03-13T16:30:00-0400,Weekly synthesis (Trump posts),"Trump publicly demands Fed Chair Powell cut interest rates immediately, not waiting for next meeting"
WK051,2026-03-13T16:30:00-0400,Weekly synthesis (Trump posts),"Energy push: first new US oil refinery in 50 years ($300B Brownsville), quadrupled defense weapons production, reshored manufacturing"
WK052,2026-03-20T16:30:00-0400,Weekly synthesis (Trump posts),"US bombs Iran's Kharg Island oil terminal and military targets; Iran threatens Hormuz closure, prompting multinational naval escort effort and Israeli strike on South Pars gas field."
WK053,2026-03-20T16:30:00-0400,Weekly synthesis (Trump posts),"Strait of Hormuz transit threatened amid Iran conflict; NATO/European allies decline to help reopen passage, raising oil-price pressure."
WK054,2026-03-20T16:30:00-0400,Weekly synthesis (Trump posts),"Supreme Court ruling adverse to Trump tariffs, putting trillions in tariff revenue and trade policy in doubt."
WK055,2026-03-27T16:30:00-0400,Weekly synthesis (Trump posts),"US-Iran war: Trump claims Iran militarily decimated, threatens to obliterate Iranian power plants unless Strait of Hormuz fully reopened"
WK056,2026-03-27T16:30:00-0400,Weekly synthesis (Trump posts),Trump pauses Iranian energy-plant destruction 10 days to April 6 as ceasefire/deal negotiations proceed; Strait of Hormuz at issue
WK057,2026-03-27T16:30:00-0400,Weekly synthesis (Trump posts),Government funding standoff over ICE/immigration; Trump pushes Senate to terminate filibuster; Xi summit rescheduled to May
WK058,2026-04-03T16:30:00-0400,Weekly synthesis (Trump posts),"US military strikes Iran, destroying targets, bridges, infrastructure; regime change underway with ceasefire talks contingent on reopening Strait of Hormuz"
WK059,2026-04-03T16:30:00-0400,Weekly synthesis (Trump posts),Strait of Hormuz blockage disrupting jet fuel/oil supply; Trump urges allies to seize it and threatens to 'take the oil'
WK060,2026-04-10T16:30:00-0400,Weekly synthesis (Trump posts),"US military strikes Iran (Operation Epic Fury), claims regime change; conflict centers on forcing reopening of Strait of Hormuz oil transit"
WK061,2026-04-10T16:30:00-0400,Weekly synthesis (Trump posts),"Iran allegedly charging/restricting tanker passage through Hormuz despite ceasefire; Trump threatens renewed action, disputes oil flow normalization"
WK062,2026-04-10T16:30:00-0400,Weekly synthesis (Trump posts),"Trump orders immediate 50% tariff on all goods from any country supplying military weapons to Iran, no exemptions"
WK063,2026-04-17T16:30:00-0400,Weekly synthesis (Trump posts),"US Navy begins naval blockade of Strait of Hormuz/Iranian ports after Iran refused nuclear terms; tankers diverted, mines reported."
WK064,2026-04-17T16:30:00-0400,Weekly synthesis (Trump posts),Iran agrees to fully reopen Strait of Hormuz and remove sea mines; blockade lifted except Iran-specific; nuclear deal nearing completion.
WK065,2026-04-17T16:30:00-0400,Weekly synthesis (Trump posts),"US-brokered 10-day Israel-Lebanon ceasefire begins; first formal talks since 1983, Hezbollah pressed to stand down."
WK066,2026-04-24T16:30:00-0400,Weekly synthesis (Trump posts),"US naval blockade of Strait of Hormuz amid Iran war; Navy ordered to sink mine-laying boats; ceasefire violated, attack paused for Pakistan-brokered talks"
WK067,2026-04-24T16:30:00-0400,Weekly synthesis (Trump posts),Supreme Court tariff ruling reportedly requires US to refund $159 billion in collected tariffs to companies
WK068,2026-04-24T16:30:00-0400,Weekly synthesis (Trump posts),Israel-Lebanon ceasefire extended three weeks following Oval Office meeting with both parties
WK069,2026-05-01T16:30:00-0400,Weekly synthesis (Trump posts),"Iran declares 'state of collapse,' asks US to reopen Strait of Hormuz; nuclear deal talks stall amid Iranian leadership chaos"
WK070,2026-05-01T16:30:00-0400,Weekly synthesis (Trump posts),"Trump to raise tariffs on EU cars and trucks to 25% next week, citing EU non-compliance with trade deal"
WK071,2026-05-01T16:30:00-0400,Weekly synthesis (Trump posts),US reviewing reduction of troops in Germany; pressure on Berlin over Iran and Russia/Ukraine policy
WK072,2026-05-08T16:30:00-0400,Weekly synthesis (Trump posts),"US military campaign against Iran with Strait of Hormuz blockade ('Epic Fury'); destroyers under fire, ships locked up, ceasefire/deal pending."
WK073,2026-05-08T16:30:00-0400,Weekly synthesis (Trump posts),Trump announces three-day Russia-Ukraine ceasefire (May 9-11) with suspension of all kinetic operations.
WK074,2026-05-08T16:30:00-0400,Weekly synthesis (Trump posts),"US to withdraw thousands of troops from Germany, mulls pulling forces from Spain and Italy."
WK075,2026-05-15T16:30:00-0400,Weekly synthesis (Trump posts),"Iran war ongoing; Trump rejects Iranian negotiators' response as 'totally unacceptable,' disputes claims Iran faring well militarily"
WK076,2026-05-15T16:30:00-0400,Weekly synthesis (Trump posts),"Trump leads major US business delegation (incl. Nvidia's Jensen Huang) to China to meet Xi, signaling trade engagement"
WK077,2026-05-15T16:30:00-0400,Weekly synthesis (Trump posts),Supreme Court tariff decision disputed; Trump laments adverse ruling potentially forcing $159B in refunds
WK078,2026-05-22T16:30:00-0400,Weekly synthesis (Trump posts),US military strike on Iran scheduled then paused at Gulf states' request; Trump issues surrender ultimatums amid claimed destruction of Iran's navy/air force.
WK079,2026-05-22T16:30:00-0400,Weekly synthesis (Trump posts),"US to send additional 5,000 troops to Poland, escalating NATO eastern-flank posture."
WK080,2026-05-29T16:30:00-0400,Weekly synthesis (Trump posts),"Active US-Iran war and ceasefire/surrender negotiations; Trump demands nuclear concessions and unrestricted, toll-free Strait of Hormuz shipping with mine-clearing underway."
WK081,2026-05-29T16:30:00-0400,Weekly synthesis (Trump posts),US presses EU to honor its trade deal with Trump; ambassador warns compliance required.
WK082,2026-05-29T16:30:00-0400,Weekly synthesis (Trump posts),"Trump touts US as crypto capital, sets CFTC as exclusive authority over prediction markets and crypto rules."
WK083,2026-06-05T16:30:00-0400,Weekly synthesis (Trump posts),"Iran war winding down: continuous US-Iran negotiations toward a nuclear deal, plus Trump-brokered Israel-Hezbollah ceasefire halting Beirut raid."
WK084,2026-06-05T16:30:00-0400,Weekly synthesis (Trump posts),Trump names FHFA/Fannie-Freddie chairman William Pulte as Acting Director of National Intelligence while keeping housing-finance role.
WK085,2026-06-05T16:30:00-0400,Weekly synthesis (Trump posts),"Strong jobs report released; Trump publicly pressures markets and Fed, arguing stocks should rise and growth isn't inflationary."
WK086,2026-06-12T16:30:00-0400,Weekly synthesis (Trump posts),"US-Iran military conflict escalates: Iran downed a US Apache over Strait of Hormuz; US threatens strikes, then cancels them after a claimed deal."
WK087,2026-06-12T16:30:00-0400,Weekly synthesis (Trump posts),US Navy blockade chokes Iran's commerce while US-escorted convoys push 100M+ barrels through Strait of Hormuz; Trump threatens seizing Kharg oil infrastructure.
