event_id,telegraph_ts,source,telegraph_text,mapped_tickers,direction,mechanism,horizon_days,chain_depth,audience_breadth,polymarket_query,confidence,rationale
WK011,2025-11-28T16:30:00-0500,Weekly synthesis (Trump posts),Trump announces permanent pause on migration from all Third World countries and terminating Biden-era admissions,GEO;CXW,long,"Trump's megaphone vow to pause migration and pursue 'reverse migration'/deportations signals escalating ICE enforcement and detention demand, which flows directly to the two dominant private detention operators GEO Group and CoreCivic.",30,2,megaphone,Trump new immigration suspension or expanded travel ban by end of 2025,medium,"Pre-catalyst record (OpenSecrets Apr 2025; Prism Oct 2025 earnings recaps) shows GEO and CoreCivic together house the bulk of ICE detainees and that their stocks jumped double-digits the day after Trump's 2024 win on the mass-deportation thesis; they are the purest US-listed vehicles for an immigration-enforcement escalation. Vehicles considered: (a) GEO/CXW private-detention pure-plays — chosen, as detention demand is the direct end of the chain; (b) diffuse labor-supply plays (agriculture/construction/hospitality equities) — rejected as too slow and confounded; (c) a dedicated immigration-enforcement ETF — none exists. The Nov 28 Truth Social posts (NPR/CNBC) explicitly pair the migration 'pause' with deportation and 'reverse migration,' which raises detention bed demand. Equal-weight GEO+CXW captures the operator duopuly while diversifying single-name contract risk. Direction long on enforcement/detention demand; horizon ~1 month to ride the policy-momentum window without forecasting magnitude."
WK012,2025-12-05T16:30:00-0500,Weekly synthesis (Trump posts),Trump declares Venezuelan airspace closed in its entirety amid escalating US anti-drug military pressure on Venezuela,BNO;USO,long,"Trump declaring Venezuelan airspace closed amid escalating US military pressure raises the odds of strikes/blockade that disrupt Venezuela's ~900k bpd of crude exports, adding a geopolitical supply-risk premium to global oil prices -> long crude-tracking ETFs.",14,3,megaphone,US military strike inside Venezuela by end of 2025,medium,"As of the telegraph, Trump had publicly told 'Airlines, Pilots, Drug Dealers and Human Traffickers' to consider Venezuelan airspace closed in its entirety, following Thanksgiving comments about land action and strikes 'very soon' — a multi-week escalation against Maduro. Venezuela is an OPEC producer of heavy/sour crude (~900k bpd, increasingly shipped to China at a discount to Brent); a US military move or tightened blockade threatens those barrels and injects a supply-risk premium into oil. Purest vehicle is the crude price itself, not a refiner (VLO) or operator (CVX, whose Venezuela exposure is diluted by company factors): BNO (Brent) best reflects an international supply-disruption premium while USO (WTI) adds liquidity, so I hold a tight equal-weight crude-ETF basket. Direction long on the risk premium; medium confidence because the 2025 oil backdrop was broadly oversupplied, which can mute the spike. Megaphone because it is a top Trump Truth Social post the whole market reads instantly."
WK013,2025-12-05T16:30:00-0500,Weekly synthesis (Trump posts),Trump holds productive call with Brazil's Lula discussing tariffs and rolling back sanctions on Brazilian officials,EWZ,long,Productive Trump-Lula call plus rolling back tariffs and official sanctions de-escalates the US-Brazil trade/political standoff -> Brazil country risk premium compresses -> broad Brazilian equities (EWZ) re-rate higher.,30,2,broad,US lifts sanctions on Brazilian official Moraes by end of 2025,medium,"Pre-5-Dec facts: Trump's August 50% Brazil tariff was tied to the Bolsonaro/Moraes dispute; on 20-21 Nov Trump already removed the 40% tariffs on Brazilian beef, coffee, cocoa and fruits; the 2-3 Dec Lula call was described as productive and explicitly covered further tariff relief and easing sanctions on Brazilian officials. This is a clean de-escalation thesis that lifts Brazilian risk assets. Vehicle menu considered: EWZ (iShares MSCI Brazil large-cap ETF) for the broadest, most liquid Brazil-sentiment read; BZF (WisdomTree Brazilian Real) for the pure FX/capital-inflow channel; single names like JBS (beef) or coffee exporters for the commodity-exempt angle. EWZ chosen as the purest liquid vehicle capturing the country-wide risk-premium compression without single-stock idiosyncrasy, while still being directly geared to BRL strength via its constituents. Some relief is already partly priced from the November tariff removal, hence medium confidence."
WK014,2025-12-12T16:30:00-0500,Weekly synthesis (Trump posts),"Trump authorizes NVIDIA to ship H200 chips to approved China customers, with 25% paid to US; Xi responded positively.",NVDA,long,"Trump authorizing H200 shipments to approved China customers reopens a large previously-banned addressable market for NVIDIA's second-best AI accelerator, expanding data-center demand for NVDA despite the 25% US surcharge.",30,1,megaphone,NVIDIA H200 chips approved/shipped to China by Q1 2026,medium,"The telegraph names the company and product directly, so the end of the causal chain IS NVIDIA's China revenue — the purest vehicle is NVDA itself, not a diluted semiconductor ETF (SMH/SOXX) or secondary beneficiaries (AMD, INTC, which the reporting flags as also gaining but are not the subject). On/before 2025-12-12 the relevant public facts: Commerce confirmed it would allow H200 exports to approved Chinese customers with the US taking a 25% cut, Trump announced it via social post on Dec 8 and said Xi responded positively, and the late-October Trump-Xi truce had China committing to end retaliation against US chipmakers. China had been a banned market under prior export controls, so re-access is a net-positive addressable-market expansion for NVDA even with the surcharge as a margin offset. Single-name megaphone catalyst with details still being negotiated by Commerce, hence medium confidence and a ~1-month horizon to capture the policy/headline window before shipments reportedly resume."
WK015,2025-12-12T16:30:00-0500,Weekly synthesis (Trump posts),"Trump warns Supreme Court tariff ruling looms as major threat; case seen as direct, fast tariff mechanism at risk.",XRT;FIVE;DLTR,long,Trump flags SCOTUS as a 'major threat' to his IEEPA tariffs -> market raises odds the tariff mechanism is struck down -> import-cost relief plus potential duty refunds for China-sourcing retailers -> import-heavy discretionary retail re-rates higher.,90,3,broad,Supreme Court strikes down Trump IEEPA tariffs,medium,"As of 2025-12-12 the only known facts: lower courts (CIT May 28, Federal Circuit Aug 29) ruled the IEEPA tariffs unlawful, and at the Nov 5, 2025 SCOTUS oral argument the justices appeared broadly skeptical of the administration's tariff authority, with even some conservatives pressing the government. Tariffs remain in effect pending the ruling, and importers have been filing protective refund claims at the CIT — signaling real perceived odds of a strike-down. Trump publicly labeling the looming ruling a 'major threat' is consistent with that risk being live. The end of the causal chain is import-cost relief for the firms that have paid these duties; there is no pure 'tariff-repeal' ETN, so I considered (a) broad equities/SPY (too diluted), (b) named mega-cap refund plaintiffs like Costco (company-specific noise), and (c) focused import-dependent retail. I chose XRT (equal-weight retail thematic, the most direct sector vehicle) tightened with FIVE and DLTR, the highest China-import-exposure discounters that gain most from removal of the tariff tax and from refunds. Long because a strike-down removes a cost drag; medium confidence because ruling timing within the term is uncertain and oral-argument skepticism is not an outcome. NO LOOK-AHEAD: any post-2025-12-12 ruling/decision is excluded."
WK016,2025-12-19T16:30:00-0500,Weekly synthesis (Trump posts),"US blockades sanctioned oil tankers and surrounds Venezuela with largest armada, demanding return of oil and assets, escalating military pressure.",BNO;USO,long,"Trump's blockade of sanctioned Venezuelan oil tankers removes ~900k+ bpd of waterborne heavy crude from the seaborne market, a supply disruption that pushes global/WTI crude prices up, tracked most directly by crude-oil ETFs.",21,2,megaphone,Maduro out as president of Venezuela before 2026,medium,"Pre-telegraph reporting (Atlantic Council Dec 18, TD Securities) confirms a large US armada in the Caribbean and an imminent blockade of Venezuela's sanctioned-oil shadow fleet; Venezuela was exporting roughly 0.9-1.0M bpd of heavy/sour crude, mostly seaborne to the US Gulf and China. Removing that waterborne supply is a bullish crude-price catalyst. Vehicles weighed: (a) crude-tracking ETFs USO (WTI) and BNO (Brent) — the purest expression since the chain ends at the crude PRICE, with BNO capturing the international/heavy-crude seaborne benchmark most affected; (b) Venezuela-exposed equities such as CVX — rejected because a blockade actually impairs Chevron's Venezuelan lifting and is diluted by company factors; (c) tanker/freight ETNs — rejected because the thesis is a supply/price disruption, not a freight-rate move, and no liquid tanker-rate ETN exists. Chose the equal-weight BNO/USO crude pair as the most direct driver. Note pre-date analysts flagged an oversupplied market that could mute the move, hence medium confidence; magnitude not estimated."
WK017,2025-12-19T16:30:00-0500,Weekly synthesis (Trump posts),Trump touts tariffs cutting trade deficit by half; Supreme Court ruling on tariff legality pending.,XRT,long,"Trump touting tariffs while a SCOTUS ruling on IEEPA-tariff legality is pending -> after two lower courts (CIT May 2025, Federal Circuit Aug 2025) already deemed the tariffs illegal, the market leans toward tariffs being struck and import duties refunded/removed -> lower input costs for import-dependent US retailers -> long the retail basket.",45,3,broad,Supreme Court strikes down Trump IEEPA tariffs by early 2026,low,"Pre-catalyst facts only: the IEEPA tariffs were ruled illegal by the US Court of International Trade on 28 May 2025 and upheld illegal by the Federal Circuit on 29 Aug 2025; SCOTUS heard consolidated oral argument on 5 Nov 2025 with a decision expected by end-2025 or early-2026. The telegraph (Trump defending tariffs as the ruling looms) flags an unresolved legal overhang. The chain ends at the cost of imported goods for US retailers, the parties who actually remit these duties; if the lower-court trend holds, tariffs are removed and refunds flow, easing retailer cost structures. Vehicle menu: SPY (too diluted), single importers like DLTR/FIVE/BBY (idiosyncratic risk), or XRT, the equal-weight SPDR S&P Retail ETF that most directly and broadly tracks tariff-cost-sensitive discretionary retailers without single-name noise — chosen. Direction and confidence kept low because the SCOTUS outcome is genuinely unresolved; I take no view on the ruling's probability or magnitude."
WK018,2025-12-26T16:30:00-0500,Weekly synthesis (Trump posts),"Q3 GDP reported at 4.3%, far above ~3.2% expectations, with administration touting strong growth and low inflation.",IWM;XLI,long,"Trump megaphone of a 4.3% Q3 GDP beat framed as 'strong growth, low inflation' -> goldilocks domestic-economy re-rating -> most growth-/cycle-sensitive US equities (small caps and industrials) bid higher.",21,2,broad,Fed cuts interest rates in Q1 2026,medium,"Per pre-26-Dec reporting, the delayed Q3 (Jul-Sep) print landed 4.3% vs ~3.2% expected, the fastest pace in two years, driven by a 3.5% consumer-spending surge, rebounding exports, and equipment/AI business investment. The administration is touting this as strong-growth/low-inflation goldilocks. The END of the chain is US DOMESTIC cyclical growth, not a commodity or rate. Vehicles weighed: SPY (rejected — dominated by mega-cap tech, dilutes the domestic-growth signal); XLY (consumer discretionary, captures the spending driver but narrow); IWM (Russell 2000) chosen as the purest expression of domestic, cyclical, growth-leveraged equity exposure; XLI added because business-equipment investment was an explicit GDP driver. Caveat lowering confidence: a hot print with firming inflation could push the Fed to pause cuts, a headwind for rate-sensitive small caps — hence the Polymarket Fed-cut question tests the 'low inflation lets policy stay easy' leg of the premise. No look-ahead used; all inputs dated 23-24 Dec 2025 or earlier."
WK019,2025-12-26T16:30:00-0500,Weekly synthesis (Trump posts),"US military strikes against ISIS in Syria and northwest Nigeria, retaliation for killings of Americans and Christians.",ITA,long,"Trump-touted expanding US strikes on ISIS in Syria (Operation Hawkeye Strike, launched Dec 19 with 100+ precision munitions) plus a Christmas Day strike in northwest Nigeria and threats of a 'many-time' campaign signal a sustained tempo of munitions expenditure and counterterror operations -> rising demand/visibility for US aerospace & defense primes -> a focused aerospace-defense sector ETF.",30,2,megaphone,US military action in Nigeria by Q1 2026,medium,"As of 2025-12-26 the public record (pre-telegraph) shows the US launched large-scale retaliatory airstrikes on ~70 ISIS targets in Syria on Dec 19 using 100+ precision munitions (GBU-31s, F-15E/A-10 sorties), conducted a Christmas Day strike in northwest Nigeria at Abuja's request, and Trump/Hegseth framed it as an open-ended 'declaration of vengeance' with threats of further Nigeria action — a clear escalation in operational tempo. Vehicles weighed: single primes (LMT, RTX, NOC, GD, BA — makers of the munitions/airframes cited) carry idiosyncratic company risk and dilute the pure 'sustained-conflict' driver; XAR (equal-weight) and PPA are alternatives, but ITA (iShares US Aerospace & Defense) is the most liquid focused sector vehicle that tracks the defense-spending/operational-tempo theme directly, per the rule preferring a focused sector ETF over one mega-cap. Direction long: a widening, multi-theater strike campaign supports defense exposure. I do not estimate magnitude or probability; horizon set to ~1 month to span the announced ongoing campaign. Oil/Nigeria-crude vehicles were rejected because the strikes target ISIS in the northwest, not the southern Niger Delta producing region."
WK020,2026-01-02T16:30:00-0500,Weekly synthesis (Trump posts),Trump threatens US military intervention in Iran if regime kills protesters; 'locked and loaded and ready to go.',BNO,long,Trump threatens US military strikes on Iran -> escalation raises Middle East / Strait of Hormuz supply-disruption risk -> a geopolitical war premium is bid into Brent crude -> the Brent-tracking ETF BNO rises.,21,2,megaphone,US military action against Iran in 2026,medium,"Protests in Iran began Dec 28, 2025 and Brent had already firmed to its highest since Oct 2025 on a modest ~$4 war premium; a Trump intervention threat directly amplifies Hormuz/supply-disruption risk, which is fundamentally a crude-PRICE story, not a single-producer story. Vehicle menu considered: USO (WTI), BNO (Brent), and US oil-major equities (XOM/CVX) or XLE. I chose BNO because the end of the causal chain is a Middle East/Hormuz supply-risk premium, which loads far more on Brent than on US-domestic WTI, and a pure crude ETF tracks that premium more directly than producer equities diluted by company-specific factors. Horizon is short because geopolitical risk premia decay quickly once headlines fade or de-escalate. Trump's threat is a top broadcast post = megaphone."
WK021,2026-01-02T16:30:00-0500,Weekly synthesis (Trump posts),Trump hosts Putin call and Zelenskyy meeting at Mar-a-Lago pushing Ukraine peace deal; cites Russian obstruction.,ITA;XAR,short,"Trump's high-profile Mar-a-Lago peace push (Putin call + Zelenskyy meeting, near-agreement) raises the market-implied odds of a Russia-Ukraine ceasefire -> lower expected future war-driven defense procurement -> US aerospace/defense ETFs derate.",30,3,megaphone,Russia-Ukraine ceasefire in 2026,medium,"Pre-telegraph reporting (Dec 24-29, 2025) shows Trump and Zelenskyy describing themselves as 'maybe very close' / 'nearly in agreement' on a ~20-point peace framework after a Mar-a-Lago meeting and a Putin call, though 'thorny issues' over territory and Russian foot-dragging remained. The cleanest tradeable end of the chain is defense-spending expectations: ceasefire newsflow historically pressures defense names. Vehicles weighed: single names (LMT/RTX/NOC) too idiosyncratic; a Ukraine-reconstruction ETF (UKRN) is European-listed/illiquid and is a noisier long-side bet; European TTF gas has no clean direct US-listed tracker. ITA (liquid US aero-defense) plus XAR (equal-weight, purer pure-play defense, less commercial-aero dilution) form a tight basket tracking the defense-procurement driver most directly. Short reflects peace progress; the 'Russian obstruction' caveat injects two-sided risk, hence medium confidence and a ~1-month horizon as the framework either advances or stalls."
WK022,2026-01-09T16:30:00-0500,Weekly synthesis (Trump posts),"US military strike captures Maduro; regime change in Venezuela, US controls 30-50M barrels sanctioned oil and seizes tankers, oil majors meet White House",USO,short,"Maduro capture/regime change -> US releases 30-50M barrels of sanctioned Venezuelan crude and seizes tankers, with oil majors meeting to revive output -> added global supply into an already-oversupplied market -> lower WTI crude price, shorted via the WTI-tracking USO.",30,2,megaphone,US eases Venezuela oil sanctions by Q1 2026,medium,"Pre-catalyst reporting (on/before 2026-01-09) confirms Maduro was captured Jan 3, US tanker seizures began Dec 2025, the administration stated Venezuela would supply 30-50M barrels at market prices, and the White House convened oil majors/traders Jan 9 to revive output. The END of the causal chain is the crude price: analysts on/before the date framed this as added supply into an oversupplied market ('sub-$50 WTI', 'just adds pressure'), i.e. bearish oil. Vehicles weighed: equities CVX/XOM/COP (already bid up on asset-recovery hopes and diluted by company-specific factors — wrong direction for the supply thesis), XLE sector ETF (too diversified), BNO (Brent, less direct for US Gulf-bound heavy crude), and USO (WTI tracker). USO most directly tracks the supply-driven price decline that is the actual driver, so I short USO. Megaphone reach via Trump posts/Truth Social. Medium confidence: supply impact and Venezuelan production ramp timing are uncertain near-term."
